# Domain file:,C:\Users\v-laftabi\Desktop\Nyx\nyx-extension\MA_PDDL\outputs\Blocks\domain.pddl
# Problem file:,C:\Users\v-laftabi\Desktop\Nyx\nyx-extension\MA_PDDL\outputs\Blocks\problem.pddl
# Constants.TIMEOUT,1800
# Constants.DELTA_T,1.0
# Constants.TIME_HORIZON,3000
# Constants.DEPTH_LIMIT,3000
# Constants.METRIC_MINIMIZE,True

timestamp,nodes_expanded,max_depth,queue_size,min_metric,max_metric,tracked_goals
1.0,1360,1,136,inf,inf,0
2.02,3140,2,288,inf,inf,0
3.06,5232,2,441,inf,inf,0
4.1,7432,2,518,inf,inf,0
5.11,9800,3,587,inf,inf,0
6.12,12534,3,794,inf,inf,0
7.13,15438,3,890,inf,inf,0
8.15,18374,3,994,inf,inf,0
9.16,22712,3,1034,inf,inf,0
10.2,25616,3,1058,inf,inf,0
11.2,30400,3,1033,inf,inf,0
12.21,34248,3,983,inf,inf,0
13.21,39780,3,973,inf,inf,0
14.21,46812,4,914,inf,inf,0
15.21,50168,4,980,inf,inf,0
16.23,55314,4,1017,inf,inf,0
17.23,60446,4,995,inf,inf,0
18.24,65924,4,905,inf,inf,0
19.24,74796,4,702,inf,inf,0
20.24,88948,5,429,inf,inf,0
