# Domain file:,C:\Users\noamsh\PycharmProjects\nyx-extension\MA_PDDL\outputs\Car\domain.pddl
# Problem file:,C:\Users\noamsh\PycharmProjects\nyx-extension\MA_PDDL\outputs\Car\problem.pddl
# Constants.TIMEOUT,1800
# Constants.DELTA_T,10.0
# Constants.TIME_HORIZON,3000
# Constants.DEPTH_LIMIT,3000
# Constants.METRIC_MINIMIZE,True

timestamp,nodes_expanded,max_depth,queue_size,min_metric,max_metric,tracked_goals
0.05,458,1,90,inf,inf,0
0.1,2384,2,234,inf,inf,0
0.15,3504,2,425,inf,inf,0
0.2,4088,2,632,inf,inf,0
0.26,5278,3,809,inf,inf,0
0.31,6507,3,992,inf,inf,0
0.36,7197,3,1198,inf,inf,0
0.41,7858,3,1395,inf,inf,0
0.46,9074,3,1579,inf,inf,0
0.51,10407,3,1777,inf,inf,0
0.56,11688,3,1958,inf,inf,0
0.62,12686,3,2172,inf,inf,0
0.67,13999,3,2347,inf,inf,0
0.72,15303,3,2524,inf,inf,0
0.77,16909,3,2675,inf,inf,0
0.82,18053,3,2859,inf,inf,0
0.87,19660,3,3021,inf,inf,0
0.92,21219,3,3195,inf,inf,0
1.0,22321,3,3280,inf,inf,0
1.05,24151,3,3416,inf,inf,0
1.1,25881,3,3581,inf,inf,0
1.15,27616,3,3730,inf,inf,0
1.2,29412,4,3865,inf,inf,0
1.25,30521,4,4031,inf,inf,0
1.31,31167,4,4246,inf,inf,0
1.36,31858,4,4426,inf,inf,0
1.41,33044,4,4610,inf,inf,0
1.46,34307,4,4795,inf,inf,0
1.51,35468,4,4977,inf,inf,0
1.56,36561,4,5166,inf,inf,0
1.61,37779,4,5364,inf,inf,0
1.66,39126,4,5540,inf,inf,0
1.72,40728,4,5697,inf,inf,0
1.77,41854,4,5877,inf,inf,0
1.82,43385,4,6031,inf,inf,0
1.87,44944,4,6205,inf,inf,0
1.92,46730,4,6334,inf,inf,0
1.97,48500,4,6466,inf,inf,0
2.02,50222,4,6618,inf,inf,0
2.07,51981,4,6761,inf,inf,0
2.12,53359,4,6888,inf,inf,0
2.17,54565,4,7079,inf,inf,0
2.23,55223,4,7271,inf,inf,0
2.28,56514,4,7398,inf,inf,0
2.33,57414,4,7602,inf,inf,0
2.38,58610,4,7770,inf,inf,0
2.43,60365,4,7929,inf,inf,0
2.49,61775,4,8087,inf,inf,0
2.54,62575,4,8257,inf,inf,0
2.59,63488,4,8456,inf,inf,0
2.64,65189,4,8636,inf,inf,0
2.69,66817,4,8802,inf,inf,0
2.74,68325,4,8956,inf,inf,0
2.8,69069,4,9164,inf,inf,0
2.85,70125,4,9340,inf,inf,0
2.9,71486,4,9490,inf,inf,0
2.95,72458,4,9593,inf,inf,0
3.0,73578,4,9690,inf,inf,0
3.06,74480,4,9820,inf,inf,0
3.11,75226,4,9963,inf,inf,0
3.16,75524,4,10063,inf,inf,0
3.21,76865,4,10177,inf,inf,0
3.26,78035,4,10298,inf,inf,0
3.31,79254,4,10443,inf,inf,0
3.37,80159,4,10585,inf,inf,0
3.42,80671,4,10741,inf,inf,0
3.47,82154,4,10871,inf,inf,0
3.53,83415,4,11001,inf,inf,0
3.58,84457,4,11111,inf,inf,0
3.63,85203,4,11274,inf,inf,0
3.68,85974,4,11407,inf,inf,0
3.73,87122,4,11532,inf,inf,0
3.79,87965,4,11633,inf,inf,0
3.84,88870,4,11766,inf,inf,0
3.89,89298,4,11922,inf,inf,0
3.95,90713,4,12063,inf,inf,0
4.0,91811,4,12184,inf,inf,0
4.05,92398,4,12316,inf,inf,0
4.1,92792,4,12439,inf,inf,0
4.15,93841,4,12548,inf,inf,0
4.2,94960,4,12650,inf,inf,0
4.26,95568,4,12794,inf,inf,0
4.31,95876,4,12931,inf,inf,0
4.36,97077,4,13048,inf,inf,0
4.41,98053,4,13181,inf,inf,0
4.46,98315,4,13325,inf,inf,0
4.51,99413,4,13457,inf,inf,0
4.56,100637,4,13582,inf,inf,0
4.61,101644,4,13727,inf,inf,0
4.68,101693,4,13753,inf,inf,0
4.73,102162,4,13924,inf,inf,0
4.79,103517,4,14038,inf,inf,0
4.84,104848,4,14172,inf,inf,0
4.89,106007,4,14335,inf,inf,0
4.94,106530,4,14515,inf,inf,0
4.99,107910,4,14645,inf,inf,0
5.04,108754,4,14791,inf,inf,0
5.1,109292,4,14961,inf,inf,0
5.15,109934,4,15117,inf,inf,0
5.2,111266,4,15264,inf,inf,0
5.25,112455,4,15426,inf,inf,0
5.31,113176,4,15600,inf,inf,0
5.36,114200,4,15753,inf,inf,0
5.41,115433,4,15930,inf,inf,0
5.47,116037,4,16109,inf,inf,0
5.52,117470,4,16256,inf,inf,0
5.57,118179,4,16431,inf,inf,0
5.62,118604,4,16634,inf,inf,0
5.67,120088,4,16781,inf,inf,0
5.72,121451,4,16943,inf,inf,0
5.77,122374,4,17127,inf,inf,0
5.82,123491,4,17285,inf,inf,0
5.88,124431,4,17453,inf,inf,0
5.93,124925,4,17649,inf,inf,0
5.98,125998,4,17811,inf,inf,0
6.03,127020,4,17985,inf,inf,0
6.08,127629,4,18159,inf,inf,0
6.14,128475,4,18331,inf,inf,0
6.19,129631,4,18497,inf,inf,0
6.24,130229,4,18682,inf,inf,0
6.29,130868,4,18874,inf,inf,0
6.34,132444,4,19021,inf,inf,0
6.39,133097,4,19209,inf,inf,0
6.45,133549,4,19416,inf,inf,0
6.5,135164,4,19589,inf,inf,0
6.55,136569,4,19760,inf,inf,0
6.6,137022,4,19957,inf,inf,0
6.66,138533,4,20110,inf,inf,0
6.71,139274,4,20319,inf,inf,0
6.76,140758,4,20479,inf,inf,0
6.81,141650,4,20677,inf,inf,0
6.86,142176,4,20868,inf,inf,0
6.91,143479,4,21036,inf,inf,0
6.97,144479,4,21204,inf,inf,0
7.02,145057,4,21402,inf,inf,0
7.07,145574,5,21570,inf,inf,0
7.12,147185,5,21714,inf,inf,0
7.17,147976,5,21899,inf,inf,0
7.22,148503,5,22106,inf,inf,0
7.27,149591,5,22257,inf,inf,0
7.32,150865,5,22453,inf,inf,0
7.38,152053,5,22633,inf,inf,0
7.43,152934,5,22827,inf,inf,0
7.48,154039,5,23024,inf,inf,0
7.53,155395,5,23216,inf,inf,0
7.58,156896,5,23373,inf,inf,0
7.63,158117,5,23542,inf,inf,0
7.68,159682,5,23699,inf,inf,0
7.73,161064,5,23862,inf,inf,0
7.78,162607,5,24025,inf,inf,0
7.84,164344,5,24153,inf,inf,0
7.89,166120,5,24285,inf,inf,0
7.94,167479,5,24429,inf,inf,0
7.99,169266,5,24553,inf,inf,0
8.04,170595,5,24694,inf,inf,0
8.15,171692,5,24853,inf,inf,0
8.2,172301,5,25036,inf,inf,0
8.25,173780,5,25177,inf,inf,0
8.3,174541,5,25376,inf,inf,0
8.35,175628,5,25527,inf,inf,0
8.41,177253,5,25685,inf,inf,0
8.46,178872,5,25855,inf,inf,0
8.51,179772,5,26057,inf,inf,0
8.56,180892,5,26251,inf,inf,0
8.61,182316,5,26410,inf,inf,0
8.67,183944,5,26576,inf,inf,0
8.72,185482,5,26747,inf,inf,0
8.77,186226,5,26955,inf,inf,0
8.83,187331,5,27157,inf,inf,0
8.88,188973,5,27308,inf,inf,0
8.93,190654,5,27464,inf,inf,0
8.98,191776,5,27622,inf,inf,0
9.03,192545,5,27808,inf,inf,0
9.08,193992,5,27951,inf,inf,0
9.13,195393,5,28104,inf,inf,0
9.19,196764,5,28275,inf,inf,0
9.24,197614,5,28458,inf,inf,0
9.29,199070,5,28619,inf,inf,0
9.34,200572,5,28775,inf,inf,0
9.39,201883,5,28937,inf,inf,0
9.44,202591,5,29134,inf,inf,0
9.49,204121,5,29294,inf,inf,0
9.55,205517,5,29468,inf,inf,0
9.6,206298,5,29667,inf,inf,0
9.65,207731,5,29811,inf,inf,0
9.7,209035,5,29984,inf,inf,0
9.75,209829,5,30162,inf,inf,0
9.81,210968,5,30322,inf,inf,0
9.86,212361,5,30479,inf,inf,0
9.91,212875,5,30670,inf,inf,0
9.96,214204,5,30822,inf,inf,0
10.01,215289,5,31015,inf,inf,0
10.06,216201,5,31187,inf,inf,0
10.11,217655,5,31352,inf,inf,0
10.17,218850,5,31544,inf,inf,0
10.22,219760,5,31730,inf,inf,0
