# Domain file:,C:\Users\noamsh\PycharmProjects\nyx-extension\MA_PDDL\outputs\PolyCraft\domain.pddl
# Problem file:,C:\Users\noamsh\PycharmProjects\nyx-extension\MA_PDDL\outputs\PolyCraft\problem.pddl
# Constants.TIMEOUT,1800
# Constants.DELTA_T,0.1
# Constants.TIME_HORIZON,3000
# Constants.DEPTH_LIMIT,3000
# Constants.METRIC_MINIMIZE,True

timestamp,nodes_expanded,max_depth,queue_size,min_metric,max_metric,tracked_goals
2.63,0,0,0,inf,inf,0
2.7,27,3,24,inf,inf,0
2.81,38,4,32,inf,inf,0
2.93,84,5,77,inf,inf,0
2.99,162,5,141,inf,inf,0
3.04,220,8,188,inf,inf,0
3.16,317,8,274,inf,inf,0
3.22,394,8,333,inf,inf,0
3.3,482,9,416,inf,inf,0
3.54,524,12,451,inf,inf,0
3.9,615,13,540,inf,inf,0
4.08,714,14,632,inf,inf,0
4.31,815,14,727,inf,inf,0
4.4,898,15,809,inf,inf,0
4.71,1106,16,1014,inf,inf,0
4.8,1197,16,1094,inf,inf,0
4.87,1284,18,1175,inf,inf,0
4.92,1375,18,1260,inf,inf,0
5.0,1458,18,1340,inf,inf,0
5.1,1666,18,1490,inf,inf,0
5.34,1874,18,1696,inf,inf,0
5.44,1973,18,1793,inf,inf,0
5.53,2064,19,1880,inf,inf,0
5.61,2155,19,1969,inf,inf,0
5.68,2246,19,2056,inf,inf,0
5.74,2337,20,2141,inf,inf,0
5.81,2384,20,2186,inf,inf,0
5.91,2499,20,2279,inf,inf,0
6.04,2614,20,2386,inf,inf,0
6.11,2721,20,2485,inf,inf,0
6.17,2828,20,2574,inf,inf,0
6.26,2935,20,2665,inf,inf,0
6.35,3042,20,2771,inf,inf,0
6.45,3149,20,2876,inf,inf,0
6.52,3256,20,2951,inf,inf,0
6.63,3497,21,3126,inf,inf,0
6.72,3738,21,3236,inf,inf,0
6.81,3861,21,3319,inf,inf,0
6.88,3968,21,3421,inf,inf,0
6.97,4075,21,3520,inf,inf,0
7.02,4166,23,3603,inf,inf,0
7.12,4289,23,3722,inf,inf,0
7.22,4412,24,3841,inf,inf,0
7.29,4503,25,3922,inf,inf,0
7.36,4590,25,4002,inf,inf,0
7.42,4677,25,4078,inf,inf,0
7.47,4768,25,4158,inf,inf,0
7.53,4859,25,4239,inf,inf,0
7.6,4950,25,4322,inf,inf,0
7.67,5041,25,4407,inf,inf,0
7.73,5223,25,4533,inf,inf,0
7.81,5310,25,4614,inf,inf,0
7.87,5417,25,4715,inf,inf,0
7.94,5516,25,4802,inf,inf,0
