# Domain file:,C:\Users\noamsh\PycharmProjects\nyx-extension\MA_PDDL\outputs\PolyCraft\domain.pddl
# Problem file:,C:\Users\noamsh\PycharmProjects\nyx-extension\MA_PDDL\outputs\PolyCraft\problem.pddl
# Constants.TIMEOUT,1800
# Constants.DELTA_T,0.1
# Constants.TIME_HORIZON,3000
# Constants.DEPTH_LIMIT,3000
# Constants.METRIC_MINIMIZE,True

timestamp,nodes_expanded,max_depth,queue_size,min_metric,max_metric,tracked_goals
30.97,0,0,0,inf,inf,0
31.05,39,3,36,inf,inf,0
31.17,54,4,47,inf,inf,0
31.48,147,5,139,inf,inf,0
31.63,333,5,302,inf,inf,0
31.78,405,7,368,inf,inf,0
31.86,464,7,417,inf,inf,0
31.95,523,8,472,inf,inf,0
32.07,582,9,530,inf,inf,0
32.13,641,10,579,inf,inf,0
32.35,764,11,682,inf,inf,0
32.71,811,11,727,inf,inf,0
33.31,902,13,814,inf,inf,0
34.28,1049,14,955,inf,inf,0
35.11,1210,14,1114,inf,inf,0
35.59,1371,15,1263,inf,inf,0
36.19,1522,16,1408,inf,inf,0
36.57,1673,16,1547,inf,inf,0
37.02,1824,16,1695,inf,inf,0
37.34,1971,16,1830,inf,inf,0
37.92,2106,16,1943,inf,inf,0
38.84,2309,16,2138,inf,inf,0
39.57,2476,17,2303,inf,inf,0
40.07,2643,17,2448,inf,inf,0
40.65,2810,17,2613,inf,inf,0
41.87,3227,17,3026,inf,inf,0
42.32,3394,17,3189,inf,inf,0
42.72,3561,17,3346,inf,inf,0
43.84,3978,17,3757,inf,inf,0
44.09,4057,19,3828,inf,inf,0
44.46,4240,19,4007,inf,inf,0
44.71,4423,19,4142,inf,inf,0
44.98,4598,21,4305,inf,inf,0
45.31,4781,21,4476,inf,inf,0
45.57,4956,21,4639,inf,inf,0
45.74,5107,21,4734,inf,inf,0
45.95,5290,21,4845,inf,inf,0
46.31,5441,21,4968,inf,inf,0
46.67,5608,21,5133,inf,inf,0
47.03,5775,21,5278,inf,inf,0
48.15,6192,21,5691,inf,inf,0
48.85,6609,21,6044,inf,inf,0
49.87,6923,23,6290,inf,inf,0
50.62,7170,23,6535,inf,inf,0
51.08,7401,23,6738,inf,inf,0
51.59,7632,23,6953,inf,inf,0
52.32,7847,23,7166,inf,inf,0
52.9,8050,24,7351,inf,inf,0
53.24,8281,24,7564,inf,inf,0
53.65,8512,24,7779,inf,inf,0
53.96,8715,24,7930,inf,inf,0
54.63,8914,24,8125,inf,inf,0
55.69,9397,25,8536,inf,inf,0
56.15,9644,25,8695,inf,inf,0
56.66,9891,25,8926,inf,inf,0
57.13,10138,25,9157,inf,inf,0
57.45,10369,25,9338,inf,inf,0
57.75,10600,25,9516,inf,inf,0
58.19,10815,25,9715,inf,inf,0
58.75,11030,25,9922,inf,inf,0
59.17,11229,25,10091,inf,inf,0
59.64,11428,25,10264,inf,inf,0
60.01,11627,25,10447,inf,inf,0
60.64,12110,25,10750,inf,inf,0
61.18,12593,25,11069,inf,inf,0
61.56,13076,25,11356,inf,inf,0
62.03,13259,25,11531,inf,inf,0
62.59,13458,25,11706,inf,inf,0
62.93,13657,25,11867,inf,inf,0
63.29,13856,25,12023,inf,inf,0
63.65,14055,25,12185,inf,inf,0
64.11,14254,25,12330,inf,inf,0
64.8,14457,25,12499,inf,inf,0
65.33,14660,25,12659,inf,inf,0
65.74,14863,25,12824,inf,inf,0
66.25,15066,25,12999,inf,inf,0
66.74,15269,25,13156,inf,inf,0
67.19,15472,25,13309,inf,inf,0
67.25,15567,26,13327,inf,inf,0
67.46,15770,26,13464,inf,inf,0
67.56,15865,26,13493,inf,inf,0
68.1,16096,26,13720,inf,inf,0
68.56,16299,26,13919,inf,inf,0
68.93,16482,26,14098,inf,inf,0
69.72,16965,26,14459,inf,inf,0
70.16,17148,26,14621,inf,inf,0
70.71,17331,26,14800,inf,inf,0
71.19,17514,26,14962,inf,inf,0
71.27,17609,26,14985,inf,inf,0
71.35,17791,26,15013,inf,inf,0
72.1,18274,26,15476,inf,inf,0
72.44,18457,27,15615,inf,inf,0
72.92,18632,27,15786,inf,inf,0
73.21,18807,28,15959,inf,inf,0
73.3,18898,28,15980,inf,inf,0
73.73,19081,28,16159,inf,inf,0
74.05,19168,28,16234,inf,inf,0
74.75,19399,28,16461,inf,inf,0
75.3,19614,28,16672,inf,inf,0
75.68,19813,28,16808,inf,inf,0
76.6,20296,28,17285,inf,inf,0
77.5,20779,28,17644,inf,inf,0
77.81,20982,28,17795,inf,inf,0
78.14,21181,28,17929,inf,inf,0
78.4,21384,28,18065,inf,inf,0
78.84,21587,28,18259,inf,inf,0
79.1,21770,28,18426,inf,inf,0
79.4,21953,28,18600,inf,inf,0
79.59,22048,28,18675,inf,inf,0
80.05,22251,28,18874,inf,inf,0
80.53,22454,28,19073,inf,inf,0
80.76,22657,28,19202,inf,inf,0
81.15,22840,28,19348,inf,inf,0
81.21,22840,28,19348,inf,inf,0
81.26,22840,28,19348,inf,inf,0
81.65,23015,28,19497,inf,inf,0
82.2,23432,28,19812,inf,inf,0
82.88,23849,28,20199,inf,inf,0
83.62,24266,28,20561,inf,inf,0
84.25,24683,28,20898,inf,inf,0
84.61,25100,28,21103,inf,inf,0
84.95,25517,28,21338,inf,inf,0
85.34,25934,28,21599,inf,inf,0
85.74,26351,28,21892,inf,inf,0
86.11,26518,28,22051,inf,inf,0
86.32,26685,28,22138,inf,inf,0
86.57,26852,28,22283,inf,inf,0
86.83,27019,28,22428,inf,inf,0
87.11,27186,28,22581,inf,inf,0
87.38,27353,28,22726,inf,inf,0
87.79,27528,28,22896,inf,inf,0
88.64,27945,28,23309,inf,inf,0
89.02,28112,28,23474,inf,inf,0
89.07,28112,28,23474,inf,inf,0
89.35,28286,28,23573,inf,inf,0
90.14,28703,28,23982,inf,inf,0
90.22,28786,28,24015,inf,inf,0
90.79,28989,28,24214,inf,inf,0
90.9,29072,28,24241,inf,inf,0
90.97,29155,28,24266,inf,inf,0
91.62,29572,28,24620,inf,inf,0
92.51,29989,28,25035,inf,inf,0
92.93,30164,28,25208,inf,inf,0
93.03,30251,29,25249,inf,inf,0
93.5,30434,29,25428,inf,inf,0
93.55,30434,29,25428,inf,inf,0
94.22,30851,29,25761,inf,inf,0
94.31,30930,29,25788,inf,inf,0
94.53,31097,29,25913,inf,inf,0
94.9,31264,29,26065,inf,inf,0
95.04,31431,29,26142,inf,inf,0
95.27,31598,29,26278,inf,inf,0
95.32,31598,29,26278,inf,inf,0
95.95,31773,29,26451,inf,inf,0
96.6,31956,29,26633,inf,inf,0
96.75,32043,30,26675,inf,inf,0
97.34,32246,30,26874,inf,inf,0
98.55,32663,30,27289,inf,inf,0
99.26,33080,30,27618,inf,inf,0
99.51,33247,30,27741,inf,inf,0
99.84,33414,30,27828,inf,inf,0
99.89,33414,30,27828,inf,inf,0
100.21,33589,30,27947,inf,inf,0
100.33,33764,30,28012,inf,inf,0
100.56,33939,30,28128,inf,inf,0
100.99,34114,30,28281,inf,inf,0
101.04,34114,30,28281,inf,inf,0
101.09,34114,30,28281,inf,inf,0
101.42,34265,30,28422,inf,inf,0
102.76,34682,30,28835,inf,inf,0
103.06,34757,30,28904,inf,inf,0
103.82,34960,30,29103,inf,inf,0
104.82,35377,30,29518,inf,inf,0
105.59,35794,30,29851,inf,inf,0
105.82,35969,30,30022,inf,inf,0
105.89,36048,30,30061,inf,inf,0
105.94,36048,30,30061,inf,inf,0
105.99,36048,30,30061,inf,inf,0
106.24,36123,30,30132,inf,inf,0
106.48,36202,30,30207,inf,inf,0
106.94,36449,30,30380,inf,inf,0
108.22,36932,30,30795,inf,inf,0
108.59,37115,30,30976,inf,inf,0
108.9,37298,30,31153,inf,inf,0
109.55,37715,30,31421,inf,inf,0
109.96,37918,30,31616,inf,inf,0
110.16,38101,30,31735,inf,inf,0
110.26,38184,30,31770,inf,inf,0
110.95,38601,30,32108,inf,inf,0
111.74,39018,30,32383,inf,inf,0
