# Domain file:,C:\Users\v-laftabi\Desktop\Nyx\nyx-extension\MA_PDDL\outputs\Blocks\domain.pddl
# Problem file:,C:\Users\v-laftabi\Desktop\Nyx\nyx-extension\MA_PDDL\outputs\Blocks\problem.pddl
# Constants.TIMEOUT,1800
# Constants.DELTA_T,1.0
# Constants.TIME_HORIZON,3000
# Constants.DEPTH_LIMIT,3000
# Constants.METRIC_MINIMIZE,True

timestamp,nodes_expanded,max_depth,queue_size,min_metric,max_metric,tracked_goals
0.5,10314,12,2864,inf,inf,0
1.0,27358,13,6112,inf,inf,0
1.5,38283,13,9438,inf,inf,0
2.0,44985,13,11636,inf,inf,0
2.51,51795,14,14197,inf,inf,0
3.01,57236,14,15654,inf,inf,0
3.51,65811,14,17379,inf,inf,0
4.01,77115,14,19247,inf,inf,0
4.51,93156,14,21807,inf,inf,0
5.01,104617,14,23427,inf,inf,0
5.51,121297,15,26598,inf,inf,0
6.01,139342,15,30588,inf,inf,0
6.51,155873,15,34747,inf,inf,0
7.01,173265,15,39599,inf,inf,0
7.51,185977,15,43327,inf,inf,0
8.01,207779,15,49767,inf,inf,0
8.51,227623,15,55765,inf,inf,0
9.01,241900,15,60035,inf,inf,0
9.51,260541,15,65580,inf,inf,0
10.01,285515,16,74631,inf,inf,0
10.51,305298,16,79393,inf,inf,0
11.01,330093,16,84746,inf,inf,0
11.51,354951,16,88966,inf,inf,0
12.02,380499,16,93107,inf,inf,0
12.52,398932,16,95910,inf,inf,0
13.02,424393,16,99572,inf,inf,0
13.52,449806,16,102405,inf,inf,0
14.02,475388,16,105377,inf,inf,0
14.52,501200,16,107741,inf,inf,0
15.02,526386,16,110808,inf,inf,0
15.52,543447,16,112357,inf,inf,0
16.02,567390,16,114437,inf,inf,0
16.52,592507,16,117227,inf,inf,0
17.02,617209,16,118695,inf,inf,0
17.52,645832,17,122788,inf,inf,0
18.02,673643,17,127739,inf,inf,0
18.52,700959,17,132203,inf,inf,0
19.02,716933,17,135011,inf,inf,0
19.52,743707,17,140243,inf,inf,0
20.02,770721,17,145627,inf,inf,0
20.52,796671,17,150575,inf,inf,0
21.03,822685,17,156814,inf,inf,0
21.53,848778,17,161760,inf,inf,0
22.03,875591,17,167166,inf,inf,0
22.63,893876,17,170985,inf,inf,0
23.13,920574,17,176097,inf,inf,0
23.63,947003,17,181352,inf,inf,0
24.13,972359,17,187823,inf,inf,0
24.63,998550,17,192792,inf,inf,0
25.13,1020612,17,196932,inf,inf,0
25.63,1047487,17,202067,inf,inf,0
26.13,1073224,17,207037,inf,inf,0
26.63,1099628,17,211868,inf,inf,0
27.26,1116407,17,215025,inf,inf,0
27.76,1142689,17,220772,inf,inf,0
28.26,1168893,17,225693,inf,inf,0
28.76,1194489,17,229886,inf,inf,0
29.26,1221205,17,234732,inf,inf,0
29.76,1246633,17,239050,inf,inf,0
30.26,1271304,17,243634,inf,inf,0
30.76,1294799,17,247740,inf,inf,0
31.26,1319113,17,251579,inf,inf,0
31.76,1346915,18,261755,inf,inf,0
32.63,1374656,18,271416,inf,inf,0
33.13,1402088,18,277973,inf,inf,0
33.63,1429042,18,284059,inf,inf,0
34.13,1456594,18,290774,inf,inf,0
34.63,1482361,18,296345,inf,inf,0
35.13,1509065,18,301061,inf,inf,0
35.63,1535224,18,305145,inf,inf,0
36.13,1559907,18,307215,inf,inf,0
36.63,1578488,18,310714,inf,inf,0
37.13,1603752,18,313591,inf,inf,0
37.63,1630111,18,316632,inf,inf,0
38.13,1656441,18,320784,inf,inf,0
38.63,1682052,18,323265,inf,inf,0
39.13,1707374,18,326874,inf,inf,0
39.96,1727431,18,330697,inf,inf,0
40.46,1752663,18,332057,inf,inf,0
40.96,1778359,18,333457,inf,inf,0
41.46,1804602,18,336049,inf,inf,0
41.96,1829928,18,336514,inf,inf,0
42.46,1856509,18,340273,inf,inf,0
42.96,1882250,18,341665,inf,inf,0
43.46,1907385,18,343197,inf,inf,0
43.97,1933149,18,345711,inf,inf,0
44.47,1958446,18,346094,inf,inf,0
44.97,1982747,18,348179,inf,inf,0
45.47,2008996,18,352101,inf,inf,0
45.97,2034781,18,353672,inf,inf,0
46.47,2059773,18,354213,inf,inf,0
46.97,2083516,18,353456,inf,inf,0
47.47,2109964,18,356758,inf,inf,0
47.97,2134908,18,357336,inf,inf,0
48.47,2159343,18,356968,inf,inf,0
48.97,2185039,18,359458,inf,inf,0
49.47,2210405,18,360426,inf,inf,0
49.97,2235396,18,360808,inf,inf,0
50.47,2260083,18,360727,inf,inf,0
50.97,2286056,18,364120,inf,inf,0
51.47,2312024,18,365186,inf,inf,0
52.08,2314069,18,365251,inf,inf,0
52.58,2338765,18,365540,inf,inf,0
53.08,2363116,18,365105,inf,inf,0
53.58,2388689,18,366538,inf,inf,0
54.08,2414609,18,367495,inf,inf,0
54.58,2439863,18,367430,inf,inf,0
55.08,2464243,18,366907,inf,inf,0
55.58,2488729,18,367851,inf,inf,0
56.08,2514773,18,370252,inf,inf,0
