# Domain file:,C:\Users\noamsh\PycharmProjects\nyx-extension\MA_PDDL\outputs\PolyCraft\domain.pddl
# Problem file:,C:\Users\noamsh\PycharmProjects\nyx-extension\MA_PDDL\outputs\PolyCraft\problem.pddl
# Constants.TIMEOUT,300.0
# Constants.DELTA_T,1.0
# Constants.TIME_HORIZON,3000
# Constants.DEPTH_LIMIT,50.0
# Constants.METRIC_MINIMIZE,True

timestamp,nodes_expanded,max_depth,queue_size,min_metric,max_metric,tracked_goals
1.0,19052,9,1380,inf,inf,0
2.0,31329,10,2365,inf,inf,0
3.0,49902,10,4090,inf,inf,0
4.1,72093,11,5099,inf,inf,0
5.1,101107,11,6608,inf,inf,0
6.1,130842,12,9556,inf,inf,0
7.1,159844,12,11002,inf,inf,0
8.1,188720,12,13128,inf,inf,0
9.1,217355,13,14583,inf,inf,0
10.1,240746,13,15221,inf,inf,0
11.11,272926,13,16025,inf,inf,0
12.11,305077,13,18270,inf,inf,0
13.11,335357,13,20208,inf,inf,0
14.11,370135,13,20684,inf,inf,0
15.11,403710,14,22031,inf,inf,0
16.11,435672,14,25138,inf,inf,0
17.11,458050,14,27012,inf,inf,0
18.12,486535,14,28879,inf,inf,0
19.12,516499,14,30771,inf,inf,0
20.12,547344,14,31723,inf,inf,0
21.12,585106,14,31638,inf,inf,0
22.12,619162,14,33564,inf,inf,0
23.12,652358,14,36284,inf,inf,0
24.12,688312,14,38528,inf,inf,0
25.12,716114,14,40170,inf,inf,0
26.12,753388,15,40505,inf,inf,0
27.12,790517,15,40362,inf,inf,0
28.12,826447,15,42248,inf,inf,0
29.12,858733,15,43189,inf,inf,0
30.12,893944,15,43863,inf,inf,0
31.12,929404,15,44205,inf,inf,0
32.12,960202,15,47452,inf,inf,0
33.12,997039,15,48732,inf,inf,0
34.13,1033003,15,51700,inf,inf,0
35.13,1056542,15,53494,inf,inf,0
36.13,1092349,15,54208,inf,inf,0
37.13,1129376,15,54752,inf,inf,0
38.13,1168144,15,54931,inf,inf,0
39.13,1207610,15,53427,inf,inf,0
40.13,1246315,15,53942,inf,inf,0
41.13,1284363,16,57520,inf,inf,0
42.13,1317628,16,60712,inf,inf,0
43.13,1349123,16,63842,inf,inf,0
44.13,1384352,16,66783,inf,inf,0
45.13,1419959,16,67985,inf,inf,0
46.13,1455059,16,69957,inf,inf,0
47.13,1473136,16,70794,inf,inf,0
48.13,1506471,16,72312,inf,inf,0
49.13,1540615,16,74748,inf,inf,0
50.13,1576824,16,76693,inf,inf,0
51.14,1615250,16,78507,inf,inf,0
52.14,1652692,16,78330,inf,inf,0
53.14,1687905,16,79823,inf,inf,0
54.14,1724604,16,80776,inf,inf,0
55.14,1767691,16,79592,inf,inf,0
56.14,1810354,16,78226,inf,inf,0
57.14,1848031,16,81437,inf,inf,0
58.14,1877936,16,85364,inf,inf,0
59.14,1908996,16,87480,inf,inf,0
60.14,1943012,16,89584,inf,inf,0
61.22,1969295,16,91295,inf,inf,0
62.22,2007617,16,93032,inf,inf,0
63.22,2047772,16,95313,inf,inf,0
64.22,2089726,16,97361,inf,inf,0
65.22,2130903,16,98221,inf,inf,0
66.22,2164845,17,97420,inf,inf,0
67.22,2199485,17,97813,inf,inf,0
68.22,2237362,17,96777,inf,inf,0
69.23,2277737,17,96455,inf,inf,0
70.23,2319259,17,94941,inf,inf,0
71.23,2355352,17,98974,inf,inf,0
72.23,2396907,17,101728,inf,inf,0
73.23,2438153,17,103644,inf,inf,0
74.23,2476303,17,104922,inf,inf,0
75.23,2516423,17,104809,inf,inf,0
76.23,2551653,17,106605,inf,inf,0
77.23,2588730,17,107290,inf,inf,0
78.23,2627779,17,105725,inf,inf,0
79.23,2663247,17,106184,inf,inf,0
80.62,2693825,17,107583,inf,inf,0
81.62,2726680,17,111344,inf,inf,0
82.62,2760743,17,113753,inf,inf,0
83.62,2793263,17,117336,inf,inf,0
84.63,2826753,17,118680,inf,inf,0
85.63,2862153,17,119341,inf,inf,0
86.63,2897090,17,120684,inf,inf,0
87.63,2932212,17,122629,inf,inf,0
88.63,2964540,17,124830,inf,inf,0
89.63,2997182,17,125398,inf,inf,0
90.63,3035126,17,125206,inf,inf,0
91.63,3072607,17,124061,inf,inf,0
92.63,3111004,17,123561,inf,inf,0
93.63,3148133,17,123048,inf,inf,0
94.63,3181286,17,123515,inf,inf,0
95.63,3219842,17,122468,inf,inf,0
96.63,3256982,17,121169,inf,inf,0
97.63,3300235,17,119857,inf,inf,0
98.64,3342799,17,118118,inf,inf,0
99.64,3384378,17,120715,inf,inf,0
100.64,3418208,17,121005,inf,inf,0
101.64,3451576,17,125780,inf,inf,0
102.64,3485200,17,128610,inf,inf,0
103.64,3516443,18,132742,inf,inf,0
104.64,3522125,18,133549,inf,inf,0
105.64,3552867,18,136608,inf,inf,0
106.64,3582878,18,138745,inf,inf,0
107.64,3617610,18,140560,inf,inf,0
108.64,3650589,18,144547,inf,inf,0
109.64,3686452,18,145790,inf,inf,0
110.64,3724573,18,150306,inf,inf,0
111.65,3762598,18,152036,inf,inf,0
112.65,3798668,18,151784,inf,inf,0
113.65,3835361,18,151054,inf,inf,0
114.65,3867964,18,151815,inf,inf,0
115.65,3905884,18,152173,inf,inf,0
116.65,3942520,18,151609,inf,inf,0
117.65,3976379,18,153744,inf,inf,0
118.65,4006188,18,155312,inf,inf,0
119.65,4037902,18,156531,inf,inf,0
120.65,4071415,18,158643,inf,inf,0
121.65,4105041,18,158708,inf,inf,0
122.65,4139869,18,160696,inf,inf,0
123.65,4179750,18,162962,inf,inf,0
124.65,4214468,18,165215,inf,inf,0
125.65,4248482,18,166378,inf,inf,0
126.65,4283371,18,167104,inf,inf,0
127.66,4317111,18,168940,inf,inf,0
128.66,4353734,18,167658,inf,inf,0
129.66,4390078,18,166944,inf,inf,0
130.66,4424323,18,167352,inf,inf,0
131.66,4461852,18,166229,inf,inf,0
132.66,4500439,18,166845,inf,inf,0
133.66,4507596,18,167943,inf,inf,0
134.66,4540471,18,171271,inf,inf,0
135.66,4567931,18,172966,inf,inf,0
136.66,4597895,18,174026,inf,inf,0
137.66,4632516,18,172849,inf,inf,0
138.67,4669754,18,171552,inf,inf,0
139.67,4710302,18,170652,inf,inf,0
140.67,4749019,18,170963,inf,inf,0
141.67,4782592,18,175015,inf,inf,0
142.67,4821085,18,177598,inf,inf,0
143.67,4853971,18,180407,inf,inf,0
144.67,4885698,18,183939,inf,inf,0
145.67,4917306,18,186872,inf,inf,0
