# Domain file:,C:\Users\noamsh\PycharmProjects\nyx-extension\MA_PDDL\outputs\Car\domain.pddl
# Problem file:,C:\Users\noamsh\PycharmProjects\nyx-extension\MA_PDDL\outputs\Car\problem.pddl
# Constants.TIMEOUT,30.0
# Constants.DELTA_T,10.0
# Constants.TIME_HORIZON,3000
# Constants.DEPTH_LIMIT,10.0
# Constants.METRIC_MINIMIZE,True

timestamp,nodes_expanded,max_depth,queue_size,min_metric,max_metric,tracked_goals
1.0,92203,4,11854,inf,inf,0
2.0,189220,4,24837,inf,inf,0
3.0,284361,5,38493,inf,inf,0
4.0,375730,5,50109,inf,inf,0
5.0,464580,5,62791,inf,inf,0
6.0,540429,5,73027,inf,inf,0
7.0,621436,5,84779,inf,inf,0
8.0,689451,5,93186,inf,inf,0
9.0,738496,5,100166,inf,inf,0
10.0,808842,5,109260,inf,inf,0
11.0,885226,5,119653,inf,inf,0
12.01,947749,5,128236,inf,inf,0
13.01,1020870,5,137677,inf,inf,0
14.01,1107461,5,149746,inf,inf,0
15.01,1195876,5,161530,inf,inf,0
16.01,1270614,5,171261,inf,inf,0
17.01,1356532,5,183028,inf,inf,0
18.01,1442276,5,194313,inf,inf,0
19.01,1532105,5,206815,inf,inf,0
20.13,1610818,5,217277,inf,inf,0
21.13,1698801,5,229028,inf,inf,0
22.13,1778678,6,239121,inf,inf,0
23.13,1865428,6,250797,inf,inf,0
24.13,1949545,6,263133,inf,inf,0
25.13,2031313,6,274200,inf,inf,0
26.13,2096940,6,283410,inf,inf,0
27.14,2185589,6,294788,inf,inf,0
28.14,2273729,6,306524,inf,inf,0
29.14,2360909,6,318224,inf,inf,0
