# Domain file:,C:\Users\v-laftabi\Desktop\Nyx\nyx-extension\MA_PDDL\outputs\Car\domain.pddl
# Problem file:,C:\Users\v-laftabi\Desktop\Nyx\nyx-extension\MA_PDDL\outputs\Car\problem.pddl
# Constants.TIMEOUT,30.0
# Constants.DELTA_T,10.0
# Constants.TIME_HORIZON,3000
# Constants.DEPTH_LIMIT,3000
# Constants.METRIC_MINIMIZE,True

timestamp,nodes_expanded,max_depth,queue_size,min_metric,max_metric,tracked_goals
1.0,19409,3,2860,inf,inf,0
2.0,39985,3,5260,inf,inf,0
3.01,55533,4,7409,inf,inf,0
4.01,67022,4,8915,inf,inf,0
5.01,78014,4,9992,inf,inf,0
6.01,88989,4,11428,inf,inf,0
7.01,98091,4,12621,inf,inf,0
8.02,108912,4,14182,inf,inf,0
9.07,118380,4,15188,inf,inf,0
10.07,130544,4,16878,inf,inf,0
11.07,143011,4,18458,inf,inf,0
12.07,154957,4,19946,inf,inf,0
13.07,166999,4,21407,inf,inf,0
14.08,179177,4,23047,inf,inf,0
15.08,190778,4,24657,inf,inf,0
16.08,201048,4,25964,inf,inf,0
17.09,210244,4,27452,inf,inf,0
18.09,219456,4,28904,inf,inf,0
19.09,228557,4,30167,inf,inf,0
20.09,239120,4,31708,inf,inf,0
21.1,250549,4,33684,inf,inf,0
22.1,261602,4,35286,inf,inf,0
23.1,268211,5,36333,inf,inf,0
24.1,274066,5,37184,inf,inf,0
25.11,283568,5,38543,inf,inf,0
26.11,293105,5,39549,inf,inf,0
27.11,304390,5,40959,inf,inf,0
28.11,313847,5,42060,inf,inf,0
29.12,325179,5,43782,inf,inf,0
