# Domain file:,C:\Users\noamsh\PycharmProjects\nyx-extension\MA_PDDL\outputs\Car\domain.pddl
# Problem file:,C:\Users\noamsh\PycharmProjects\nyx-extension\MA_PDDL\outputs\Car\problem.pddl
# Constants.TIMEOUT,1800
# Constants.DELTA_T,10.0
# Constants.TIME_HORIZON,3000
# Constants.DEPTH_LIMIT,3000
# Constants.METRIC_MINIMIZE,True

timestamp,nodes_expanded,max_depth,queue_size,min_metric,max_metric,tracked_goals
1.0,20206,3,2950,inf,inf,0
2.0,44898,4,5726,inf,inf,0
3.0,65570,4,8741,inf,inf,0
4.01,89121,4,11534,inf,inf,0
5.01,110909,4,14255,inf,inf,0
6.01,129649,4,16592,inf,inf,0
7.02,149224,4,18952,inf,inf,0
8.02,170924,4,21664,inf,inf,0
9.02,190173,4,24389,inf,inf,0
10.03,208161,4,26975,inf,inf,0
11.03,226705,4,29741,inf,inf,0
12.04,245036,4,32566,inf,inf,0
13.04,262069,5,35461,inf,inf,0
14.04,279785,5,38135,inf,inf,0
15.04,302112,5,40413,inf,inf,0
16.05,320508,5,42726,inf,inf,0
17.05,338304,5,45057,inf,inf,0
18.05,355473,5,47310,inf,inf,0
19.05,374775,5,49657,inf,inf,0
20.05,394472,5,52269,inf,inf,0
21.06,413501,5,54915,inf,inf,0
22.06,430536,5,57483,inf,inf,0
23.06,450581,5,60280,inf,inf,0
24.07,467893,5,63141,inf,inf,0
25.07,486360,5,65920,inf,inf,0
26.07,503828,5,68583,inf,inf,0
27.07,523499,5,70995,inf,inf,0
28.07,542694,5,73393,inf,inf,0
29.07,563043,5,75824,inf,inf,0
30.07,581330,5,78389,inf,inf,0
31.07,596162,5,80528,inf,inf,0
32.07,611901,5,82638,inf,inf,0
33.08,622693,5,84246,inf,inf,0
34.08,633536,5,85900,inf,inf,0
35.08,645722,5,87710,inf,inf,0
36.08,665279,5,89988,inf,inf,0
37.09,683590,5,92145,inf,inf,0
38.11,693133,5,93413,inf,inf,0
39.11,703268,5,94922,inf,inf,0
40.11,713696,5,96227,inf,inf,0
41.13,724126,5,97613,inf,inf,0
42.13,727789,5,98209,inf,inf,0
43.14,735847,5,99310,inf,inf,0
44.16,743383,5,100384,inf,inf,0
45.16,750429,5,101437,inf,inf,0
46.17,764812,5,103670,inf,inf,0
