# Domain file:,C:\Users\v-laftabi\Desktop\Nyx\nyx-extension\MA_PDDL\outputs\PolyCraft\domain.pddl
# Problem file:,C:\Users\v-laftabi\Desktop\Nyx\nyx-extension\MA_PDDL\outputs\PolyCraft\problem.pddl
# Constants.TIMEOUT,1800
# Constants.DELTA_T,0.1
# Constants.TIME_HORIZON,3000
# Constants.DEPTH_LIMIT,3000
# Constants.METRIC_MINIMIZE,True

timestamp,nodes_expanded,max_depth,queue_size,min_metric,max_metric,tracked_goals
4.28,0,0,0,inf,inf,0
5.49,617,14,549,inf,inf,0
6.59,1278,16,1132,inf,inf,0
7.63,1955,18,1782,inf,inf,0
8.71,2695,18,2469,inf,inf,0
9.81,3617,19,3257,inf,inf,0
10.82,4409,19,3885,inf,inf,0
11.92,5332,22,4723,inf,inf,0
13.05,6137,22,5357,inf,inf,0
14.08,6848,23,5980,inf,inf,0
15.17,7714,24,6684,inf,inf,0
16.29,8523,24,7408,inf,inf,0
17.44,9693,24,8228,inf,inf,0
18.5,10970,24,9056,inf,inf,0
19.63,12179,26,9876,inf,inf,0
20.64,13129,26,10676,inf,inf,0
21.71,13874,27,11335,inf,inf,0
22.73,14720,29,12034,inf,inf,0
23.81,15592,29,12763,inf,inf,0
24.92,16472,29,13542,inf,inf,0
26.0,17591,29,14481,inf,inf,0
27.04,18409,30,15238,inf,inf,0
28.1,19156,30,15951,inf,inf,0
29.27,20049,30,16652,inf,inf,0
30.32,20963,31,17333,inf,inf,0
31.33,21753,32,17917,inf,inf,0
32.61,22516,32,18664,inf,inf,0
33.66,23413,32,19342,inf,inf,0
34.78,24309,32,20098,inf,inf,0
35.8,25353,32,20896,inf,inf,0
36.81,25987,32,21481,inf,inf,0
37.9,26942,32,22238,inf,inf,0
39.17,28333,32,23161,inf,inf,0
40.18,29099,32,23810,inf,inf,0
41.27,30089,32,24638,inf,inf,0
42.29,30689,32,25195,inf,inf,0
43.44,32132,32,25883,inf,inf,0
44.46,33428,32,26480,inf,inf,0
45.55,34395,32,27096,inf,inf,0
46.61,35256,33,27790,inf,inf,0
47.75,36363,34,28545,inf,inf,0
48.75,36855,34,28960,inf,inf,0
49.75,37839,34,29592,inf,inf,0
50.75,38529,34,30064,inf,inf,0
51.75,39457,34,30775,inf,inf,0
52.78,40110,34,31306,inf,inf,0
53.78,41394,34,32111,inf,inf,0
54.91,42044,35,32629,inf,inf,0
55.97,43063,35,33308,inf,inf,0
57.08,43507,35,33660,inf,inf,0
58.19,44247,35,34318,inf,inf,0
59.48,45094,35,35037,inf,inf,0
60.57,45883,35,35686,inf,inf,0
61.74,47117,35,36399,inf,inf,0
62.76,48627,35,37331,inf,inf,0
63.76,49714,36,37916,inf,inf,0
64.83,50442,36,38410,inf,inf,0
65.84,51174,36,38972,inf,inf,0
66.98,51717,36,39451,inf,inf,0
68.07,52572,36,40064,inf,inf,0
69.07,53272,37,40557,inf,inf,0
70.2,54135,37,41328,inf,inf,0
71.2,54754,37,41811,inf,inf,0
72.33,55794,37,42640,inf,inf,0
73.55,56418,37,43218,inf,inf,0
74.55,57091,38,43834,inf,inf,0
75.6,57755,39,44424,inf,inf,0
76.67,58504,39,45075,inf,inf,0
77.75,59208,39,45715,inf,inf,0
78.91,59571,39,46055,inf,inf,0
79.98,60385,39,46699,inf,inf,0
81.23,61155,39,47376,inf,inf,0
82.23,61655,39,47781,inf,inf,0
83.29,62174,39,48178,inf,inf,0
84.34,63050,39,48963,inf,inf,0
85.36,63684,39,49400,inf,inf,0
86.54,64337,39,50003,inf,inf,0
87.68,65369,39,50765,inf,inf,0
88.71,66057,39,51396,inf,inf,0
89.74,66460,39,51744,inf,inf,0
90.74,67284,39,52388,inf,inf,0
91.77,67633,39,52693,inf,inf,0
92.86,68233,39,53205,inf,inf,0
94.23,69133,39,54038,inf,inf,0
95.25,70033,39,54673,inf,inf,0
96.25,70536,39,54978,inf,inf,0
97.25,71370,39,55529,inf,inf,0
98.31,71894,39,55867,inf,inf,0
99.31,72632,39,56395,inf,inf,0
100.38,73616,39,56954,inf,inf,0
101.41,74600,39,57622,inf,inf,0
102.41,75215,39,58013,inf,inf,0
103.43,75560,39,58339,inf,inf,0
104.46,76053,39,58808,inf,inf,0
105.46,77143,39,59562,inf,inf,0
106.46,77603,39,59973,inf,inf,0
107.46,78178,39,60389,inf,inf,0
108.46,79098,39,60936,inf,inf,0
109.46,79929,39,61526,inf,inf,0
110.61,80357,40,61910,inf,inf,0
111.65,81258,40,62535,inf,inf,0
112.65,82077,40,63161,inf,inf,0
113.83,82473,40,63492,inf,inf,0
114.85,82968,40,63936,inf,inf,0
115.85,83859,40,64578,inf,inf,0
116.85,84465,40,65033,inf,inf,0
118.14,85911,40,65815,inf,inf,0
119.59,87357,40,66558,inf,inf,0
120.65,88085,40,67082,inf,inf,0
121.73,88631,40,67417,inf,inf,0
122.73,89279,40,67937,inf,inf,0
123.73,89734,40,68215,inf,inf,0
124.76,90335,40,68653,inf,inf,0
125.76,90596,40,68854,inf,inf,0
126.86,91335,40,69474,inf,inf,0
127.94,91754,40,69872,inf,inf,0
128.98,92460,40,70482,inf,inf,0
130.06,93291,40,71126,inf,inf,0
131.2,94123,40,71844,inf,inf,0
132.2,94539,40,72184,inf,inf,0
133.2,95126,40,72640,inf,inf,0
134.2,95208,40,72712,inf,inf,0
135.23,95666,40,73148,inf,inf,0
136.26,96419,40,73731,inf,inf,0
137.27,96809,40,74019,inf,inf,0
138.28,97116,40,74263,inf,inf,0
139.3,97846,40,74855,inf,inf,0
140.3,98211,40,75151,inf,inf,0
141.43,98969,40,75688,inf,inf,0
142.48,100173,40,76494,inf,inf,0
143.48,100345,41,76570,inf,inf,0
144.48,101197,41,77113,inf,inf,0
145.75,101621,41,77379,inf,inf,0
146.87,102221,41,77918,inf,inf,0
147.9,102821,41,78511,inf,inf,0
148.9,103507,41,78968,inf,inf,0
149.9,103743,41,79084,inf,inf,0
150.9,104299,41,79360,inf,inf,0
151.9,104855,41,79709,inf,inf,0
153.09,105347,41,80158,inf,inf,0
154.09,105962,41,80692,inf,inf,0
155.11,106454,41,81059,inf,inf,0
156.28,107315,41,81708,inf,inf,0
157.37,108053,41,82330,inf,inf,0
158.37,108791,41,82840,inf,inf,0
159.4,109268,41,83241,inf,inf,0
160.4,109915,41,83746,inf,inf,0
161.49,110145,41,83969,inf,inf,0
162.56,110720,41,84464,inf,inf,0
163.58,111180,41,84897,inf,inf,0
164.58,111985,41,85446,inf,inf,0
165.61,112790,41,86011,inf,inf,0
166.69,113234,41,86369,inf,inf,0
167.69,113876,41,86779,inf,inf,0
168.69,113876,41,86779,inf,inf,0
169.8,114371,41,87202,inf,inf,0
170.89,115163,41,87799,inf,inf,0
171.89,115856,41,88288,inf,inf,0
172.94,116700,41,88881,inf,inf,0
174.01,117282,41,89284,inf,inf,0
175.01,117596,41,89596,inf,inf,0
176.15,118892,41,90498,inf,inf,0
177.36,120097,41,91309,inf,inf,0
178.56,121334,41,92139,inf,inf,0
179.56,121906,41,92584,inf,inf,0
180.56,122543,41,93034,inf,inf,0
181.77,123408,41,93809,inf,inf,0
182.77,123772,41,94054,inf,inf,0
183.79,123813,41,94091,inf,inf,0
184.83,124635,41,94825,inf,inf,0
185.83,124896,41,95039,inf,inf,0
186.92,125635,41,95736,inf,inf,0
187.99,126456,41,96402,inf,inf,0
