# Domain file:,C:\Users\v-laftabi\Desktop\Nyx\nyx-extension\MA_PDDL\outputs\Car\domain.pddl
# Problem file:,C:\Users\v-laftabi\Desktop\Nyx\nyx-extension\MA_PDDL\outputs\Car\problem.pddl
# Constants.TIMEOUT,1800
# Constants.DELTA_T,10.0
# Constants.TIME_HORIZON,3000
# Constants.DEPTH_LIMIT,3000
# Constants.METRIC_MINIMIZE,True

timestamp,nodes_expanded,max_depth,queue_size,min_metric,max_metric,tracked_goals
1.0,5615,477,993,inf,inf,0
2.0,11839,661,2348,inf,inf,0
3.0,19129,929,3916,inf,inf,0
4.0,27117,1197,5826,inf,inf,0
5.0,33651,1465,7383,inf,inf,0
6.01,39939,1733,8977,inf,inf,0
7.01,46260,2001,10697,inf,inf,0
8.01,53405,2355,12753,inf,inf,0
9.01,60222,2601,14280,inf,inf,0
10.01,68410,2608,14393,inf,inf,0
11.01,76244,2608,14480,inf,inf,0
12.01,84174,2608,14815,inf,inf,0
13.01,91199,2608,14863,inf,inf,0
14.01,100723,2608,14909,inf,inf,0
15.01,106140,2615,15222,inf,inf,0
16.01,115487,2615,16414,inf,inf,0
17.01,122170,2615,17141,inf,inf,0
18.01,129494,2615,17393,inf,inf,0
19.01,136535,2615,17726,inf,inf,0
20.01,141713,2615,18883,inf,inf,0
21.01,147040,2615,19999,inf,inf,0
22.01,151504,2615,20786,inf,inf,0
23.01,157236,2615,21781,inf,inf,0
24.01,162798,2615,22658,inf,inf,0
25.02,168898,2615,23289,inf,inf,0
26.02,175859,2615,23997,inf,inf,0
27.02,182241,2615,24767,inf,inf,0
28.02,188545,2615,25531,inf,inf,0
29.02,196953,2615,26859,inf,inf,0
30.02,203084,2615,27524,inf,inf,0
31.02,207880,2615,28206,inf,inf,0
32.02,213274,2615,29056,inf,inf,0
33.02,218667,2615,29902,inf,inf,0
34.02,225550,2615,31281,inf,inf,0
35.02,233835,2615,32746,inf,inf,0
36.02,240739,2615,33499,inf,inf,0
37.02,246888,2615,34089,inf,inf,0
38.02,253084,2615,34766,inf,inf,0
39.02,259311,2622,35315,inf,inf,0
40.02,264363,2622,36302,inf,inf,0
41.02,269071,2622,37049,inf,inf,0
42.02,277245,2622,38692,inf,inf,0
43.02,282795,2622,39511,inf,inf,0
44.02,288691,2622,40142,inf,inf,0
45.03,294201,2622,40992,inf,inf,0
46.03,300798,2622,41531,inf,inf,0
47.03,306043,2622,42406,inf,inf,0
48.03,313896,2622,43213,inf,inf,0
49.03,318951,2622,44172,inf,inf,0
50.03,326040,2622,44978,inf,inf,0
51.03,331115,2622,45964,inf,inf,0
52.03,337179,2622,46493,inf,inf,0
53.03,342842,2622,47442,inf,inf,0
54.03,348589,2622,48174,inf,inf,0
55.03,352751,2622,48657,inf,inf,0
56.03,358005,2622,49556,inf,inf,0
57.03,363575,2622,50289,inf,inf,0
58.03,368358,2622,51330,inf,inf,0
59.03,374541,2622,51786,inf,inf,0
60.03,379646,2622,52802,inf,inf,0
61.03,386197,2622,53473,inf,inf,0
62.03,391814,2622,54306,inf,inf,0
63.03,397509,2622,55328,inf,inf,0
64.03,404103,2622,55981,inf,inf,0
65.03,408900,2622,57009,inf,inf,0
66.04,415341,2622,57613,inf,inf,0
67.04,420614,2622,58521,inf,inf,0
68.04,425942,2622,59209,inf,inf,0
69.04,432464,2622,59940,inf,inf,0
70.04,437336,2622,60960,inf,inf,0
71.04,443723,2622,61365,inf,inf,0
72.04,448572,2622,62426,inf,inf,0
73.04,453485,2622,63164,inf,inf,0
74.04,458409,2622,63409,inf,inf,0
75.04,464909,2622,64761,inf,inf,0
76.04,470512,2622,65316,inf,inf,0
77.04,476043,2622,66035,inf,inf,0
78.04,480497,2622,67033,inf,inf,0
79.04,486797,2622,67381,inf,inf,0
80.04,491503,2622,68323,inf,inf,0
81.04,497172,2622,69205,inf,inf,0
82.04,503126,2622,69568,inf,inf,0
83.05,507895,2622,70576,inf,inf,0
84.05,513390,2622,71265,inf,inf,0
85.05,519654,2622,71926,inf,inf,0
86.05,523972,2622,72882,inf,inf,0
87.05,529362,2622,73425,inf,inf,0
88.05,534427,2622,74026,inf,inf,0
89.05,538641,2622,74903,inf,inf,0
90.05,544663,2622,75488,inf,inf,0
91.05,551236,2622,76185,inf,inf,0
92.05,555423,2622,77078,inf,inf,0
93.05,562681,2622,77644,inf,inf,0
94.05,567638,2622,78537,inf,inf,0
95.05,574705,2622,79563,inf,inf,0
96.05,580786,2622,80140,inf,inf,0
97.05,585232,2622,81044,inf,inf,0
98.05,587650,2622,81195,inf,inf,0
99.05,593360,2622,81740,inf,inf,0
100.05,598564,2622,82282,inf,inf,0
101.05,604022,2622,83475,inf,inf,0
102.05,610600,2622,83857,inf,inf,0
103.06,615727,2622,84733,inf,inf,0
104.06,620761,2622,85333,inf,inf,0
105.06,625612,2622,86056,inf,inf,0
106.06,631917,2622,86438,inf,inf,0
107.06,636525,2622,87139,inf,inf,0
108.06,641445,2622,87923,inf,inf,0
